product_id,url,product_title,product_brand,product_rating,product_rating_count,product_image,stock_status,vendor_price,product_os,screen_size,memory_size,question_answered
B07RF1XD36,https://www.amazon.com/-/es/Computadora-port%C3%A1til-pantalla-retroiluminado-A515-43-R19L/dp/B07RF1XD36,"Acer Aspire 5 Computadora portátil delgada, pantalla IPS Full HD de 15.6 pulgadas, AMD Ryzen 3 3200U, gráficos Vega 3, 4GB DDR4, 128GB SSD, teclado retroiluminado, Windows 10 en modo S, A515-43-R19L, plateado",Acer,4.6,"25,394",https://images-na.ssl-images-amazon.com/images/I/71vvXGmdKWL._AC_SX679_.jpg,in stock,US$ 364.99,Windows 10 S,15.6 Pulgadas,4 GB,1000+
B081V6W99V,https://www.amazon.com/-/es/L210MA-DB01/dp/B081V6W99V,"ASUS Laptop L210 Ultra Thin Laptop, 11.6” HD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, NumberPad, Windows 10 Home in S Mode with One Year of Microsoft 365 Personal, L210MA-DB01",ASUS,4.3,"6,316",https://images-na.ssl-images-amazon.com/images/I/810BY5U9baL._AC_SY450_.jpg,in stock,US$ 199.99,Windows 10 S,11.6 Pulgadas,4 GB,739
B0869L1326,https://www.amazon.com/-/es/F512JA-AS34-VivoBook-port%C3%A1til-i3-1005G1-retroiluminado/dp/B0869L1326,"ASUS F512JA-AS34 VivoBook 15 portátil delgado y ligero, pantalla FHD de 15,6"", CPU Intel i3-1005G1, 8 GB RAM, 128 GB SSD, teclado retroiluminado, huella digital, Windows 10 Home en modo S, gris pizarra",ASUS,4.5,"3,074",https://images-na.ssl-images-amazon.com/images/I/81fstJkUlaL._AC_SX425_.jpg,in stock,US$ 449.00,Windows 10 S,15.6 Pulgadas,8 GB,257
B08BB9RWXD,https://www.amazon.com/-/es/pantalla-procesador-Windows-82B1000AUS-Phantom/dp/B08BB9RWXD,"Lenovo Legion 5 Gaming Laptop, pantalla IPS FHD (1920 x 1080), procesador AMD Ryzen 7 4800H, 16 GB DDR4, 512 GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black",Lenovo,4.6,895,https://images-na.ssl-images-amazon.com/images/I/81w%2B3k4U8PL._AC_SX569_.jpg,in stock,US$ 999.99,Windows 10 Home,15.6 Pulgadas,16 GB,247
B08529TZMC,https://www.amazon.com/-/es/HP-Chromebook-Computadora-port%C3%A1til-pulgadas/dp/B08529TZMC,HP Chromebook. - Computadora portátil de 14 pulgadas.,HP,4.5,"3,486",https://images-na.ssl-images-amazon.com/images/I/91shKLxoedL._AC_SX425_.jpg,out of stock,,Chrome OS,14 Pulgadas,4 GB,171
B08GHVSGMQ,https://www.amazon.com/-/es/Samsung-Galaxy-Tablet-10-4-Wi-Fi/dp/B08GHVSGMQ,Samsung Galaxy - Tablet A7 10.4 con Wi-Fi,Samsung Electronics,4.7,"6,770",https://images-na.ssl-images-amazon.com/images/I/71MvL2kCFCL._AC_SY606_.jpg,in stock,US$ 199.99,,10.4 Pulgadas,32 GB,479
B086MBQKH2,https://www.amazon.com/-/es/CP311-2H-C679-Acer-Chromebook-Spin/dp/B086MBQKH2,Acer Chromebook Spin,Acer,4.6,"5,639",https://images-na.ssl-images-amazon.com/images/I/71c5W9NxN5L._AC_SX679_.jpg,in stock,US$ 264.50,Chrome OS,11.6 Pulgadas,4 GB,332
B08H2H89K1,https://www.amazon.com/-/es/Acer-Nitro-generaci%C3%B3n-retroiluminado-AN515-54-5812/dp/B08H2H89K1,"Acer Nitro 5 - Portátil de Gaming, Intel Core i5-9300H, 9ª generación, NVIDIA GeForce GTX 1650, pantalla IPS Full HD de 15.6 pulgadas, RAM 8 GB DDR4, unidad de estado sólido (SSD) 256 GB NVMe, WiFi 6, Waves MaxxAudio, teclado retroiluminado, AN515-54-5812",Acer,4.6,"1,557",https://images-na.ssl-images-amazon.com/images/I/81Z8NvO2TFL._AC_SX425_.jpg,in stock,US$ 729.99,Windows 10 Home,15.6 Pulgadas,8 GB,300
B08KGZ79N6,https://www.amazon.com/-/es/procesador-i5-1135G7-generaci%C3%B3n-almacenamiento-15-dy2021nr/dp/B08KGZ79N6,"HP 15 Laptop, procesador Intel Core i5-1135G7 de 11ª generación, 8 GB de RAM, 256 GB de almacenamiento SSD de 15,6"" Full HD IPS Display, Windows 10 Home, HP Fast Charge, diseño ligero (15-dy2021nr, 2020)",HP,4.4,137,https://images-na.ssl-images-amazon.com/images/I/81skV7BufjL._AC_SX569_.jpg,in stock,US$ 629.99,Windows 10 Home,15.6 Pulgadas,8 GB,39
B0862269YP,https://www.amazon.com/-/es/pantalla-procesador-Graphics-estrecho-81W0003QUS/dp/B0862269YP,"Lenovo IdeaPad 3 14"" Laptop, pantalla FHD 1920 x 1080, procesador AMD Ryzen 5 3500U, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, bisel estrecho, Windows 10, 81W0003QUS, Abyss Blue",Lenovo,4.5,"3,324",https://images-na.ssl-images-amazon.com/images/I/71dqjxW8g5L._AC_SX569_.jpg,in stock,US$ 449.99,Windows 10,14 Pulgadas,8 GB,341
