page_number,extracted_urls
1,/-/es/Computadora-port%C3%A1til-pantalla-retroiluminado-A515-43-R19L/dp/B07RF1XD36
1,/-/es/L210MA-DB01/dp/B081V6W99V
1,/-/es/F512JA-AS34-VivoBook-port%C3%A1til-i3-1005G1-retroiluminado/dp/B0869L1326
1,/-/es/pantalla-procesador-Windows-82B1000AUS-Phantom/dp/B08BB9RWXD
1,/-/es/HP-Chromebook-Computadora-port%C3%A1til-pulgadas/dp/B08529TZMC
1,/-/es/Samsung-Galaxy-Tablet-10-4-Wi-Fi/dp/B08GHVSGMQ
1,/-/es/CP311-2H-C679-Acer-Chromebook-Spin/dp/B086MBQKH2
1,/-/es/Acer-Nitro-generaci%C3%B3n-retroiluminado-AN515-54-5812/dp/B08H2H89K1
1,/-/es/procesador-i5-1135G7-generaci%C3%B3n-almacenamiento-15-dy2021nr/dp/B08KGZ79N6
1,/-/es/pantalla-procesador-Graphics-estrecho-81W0003QUS/dp/B0862269YP
1,/-/es/Android-Octa-Core-Processor-Storage-ZA5T0300US/dp/B083JXPDL5
1,/-/es/Octa-Core-retroiluminado-dactilares-integrado-SF314-42-R9YN/dp/B086KKKT15
1,/-/es/Lenovo-Chromebook-2-en-1-Laptop-convertible/dp/B07GM2J11Q
1,/-/es/port%C3%A1til-pantalla-procesador-Graphics-81X20005US/dp/B086226DDB
1,/-/es/TC-895-UA92-Desktop-procesador-i5-10400-802-11ax/dp/B088X2YR3X
1,/-/es/Leopard-pulgadas-pantalla-delgado-i7-10750H/dp/B085B3GFRL
1,/-/es/Chromebook-procesador-incorporado-integrados-82B80006UX/dp/B086383HC7
1,/-/es/Computadora-port%C3%A1til-Acer-Aspire-A515/dp/B087RTV311
1,/-/es/BR6933/dp/B07VZ39199
1,/-/es/SM-T870NZKAXAR-Samsung-Tableta-Galaxy-S7/dp/B08FBN5STQ
1,/-/es/Pantalla-Procesador-Gr%C3%A1ficos-81W10094US-Negocios/dp/B0872K4XCJ
1,/-/es/Razer-Blade-15-i7-10750H-GeForce/dp/B086MFZBM9
1,/-/es/VivoBook-pantalla-R7-3700U-Graphics-F512DA-NH77/dp/B085344M9Q
1,/-/es/%C3%BAltimo-modelo-pulgadas-MR7F2LL-renovado/dp/B07D3DDJ4L
2,/-/es/port%C3%A1til-HP-14-Chromebook-Bluetooth/dp/B07L52KX7B
2,/-/es/HP-Computadora-pulgadas-A9-9425-24-f0020/dp/B0849GZCQR
2,/-/es/K105-X11-MIX-2/dp/B083BGRNMZ
2,/-/es/Chromebook-pantalla-MediaTek-gr%C3%A1ficos-ZA6F0031US/dp/B0856QVM2F
2,/-/es/TC-895-UA91-Desktop-procesador-i3-10100-802-11ax/dp/B088X29HF6
2,/-/es/Microsoft-Surface-Pro-7-Platino/dp/B07YNJGMH6
2,/-/es/iBUYPOWER-Desktop-Revolt-9330-i5-10600K/dp/B08FPT92JD
2,/-/es/Port%C3%A1til-Stream-pulgadas-Intel-Celeron/dp/B0886JS35F
2,/-/es/procesador-pantalla-antirreflejos-pulgadas-22-df0022/dp/B08BXB1N1V
2,/-/es/Chromebook-port%C3%A1til-pantalla-procesador-81JW0000US/dp/B07GLV1VC7
2,/-/es/tel%C3%A9fono-llamadas-desbloqueado-SM-T295-internacional/dp/B07XC3CW4G
2,/-/es/C24-963-UA91-pantalla-i3-1005G1-802-11ac-inal%C3%A1mbricos/dp/B088HFS3M5
2,/-/es/Laptop-Pavilion-Pentium-Silver-Windows/dp/B0894DBTRV
2,/-/es/IdeaPad-i5-1035G1-pulgadas-port%C3%A1til-pantalla/dp/B08NXSJVCR
2,/-/es/Samsung-SM-T290NZKAXAR-Galaxy-Android-Tablet/dp/B07VDB92RK
2,/-/es/Samsung-Galaxy-10-4-pulgadas-rosada-SM-P610NZIAXAR/dp/B086Z4CY5V
2,/-/es/Dell-Inspiron-Desktop-3880-generaci%C3%B3n/dp/B08BS5LW7X
2,/-/es/Apple-pulgadas-port%C3%A1til-Dual-Core-Bluetooth/dp/B07BZF4MYM
2,/-/es/AN515-54-5812-Acer/dp/B086KJBKDW
2,/-/es/Apple-9-7inch-32GB-Modelo-Renovado/dp/B074PWW6NS
2,/-/es/i7-9750H-GeForce-Gigabit-Windows-FX505GT-AB73/dp/B08KH2Q1FG
